text,sentiment
“Павлодар облысында қатты соққан жел салдарынан ауыл жарықсыз қалған”,neg
“Лифтіде зорламақ болған: қарағандылық қыздың анасы мәлімдеме жасады”,neg
“Мерекелік Чемпиондар лигасы!Үздік ойындарды бірге тамашалайық”,pos
“8 наурызға орай аналарға бір реттік жәрдемақы төленеді”,pos
“Таразда бір үйдің бес адамы газдан уланып қалды”,neg
“Дәрігер денсаулыққа пайдалы болу үшін қанша қадам жаяу жүру керегін айтты”,pos
“Түркияның тағы бір провинциясында жер сілкінісі болды”,neg
“Әйеліне тікұшақпен гүл “таситын жігіт”,pos
“Дизайнерлерді таңдай қақтырған. 9 жастағы қазақстандық халықаралық сұлулық байқауында бас жүлдені иеленді”,pos
“Қазақ екенін біліп едім. Джеки Чанға шапан жабылып  жылқы сыйға тартылды”,pos
“БҚО-да ток соғып  екі қолынан айырылған 5 жасар баланың ісіне қатысты сот үкімі шықты”,neg
“Маған ұнайтын нәрсе. Танымал волейболшы 8 наурыз мерекесіне алған сыйлығын көрсетті”,pos
“Ақтөбедегі бір жасар сәбидің өлімі: отбасының тағы бір баласы шетінеген екен”,neg
“Павлодарда қоқыс жәшігінен жаңа туған нәресте өлі табылды”,neg
“Асхат Оралов Президентке спортты дамыту жоспарын айтты”,pos
“Алматыда 2pos миллион теңгеге дейін қандай пәтер сатып алуға болады?”,pos
“Диетолог таңғы асқа пайдалы өнімдерді атады”,pos
“Әйелді өлтірген. 25 жыл шетелде жасырынып жүрген қылмыскер ұсталды”,neg
“Ақтөбе облысында екі айда neg6 бала жол апатынан зардап шеккен”,neg
“Таңғаларлық суреттер: жасанды интеллект Қазақстанның болашағын болжады”,pos
“Өзі өтінген. 76 жастағы әйел айықпас дертке шалдыққан күйеуін атып өлтірген”,neg
“Оқыс сәт. Қайрат футболшысы төрешіні теуіп құлатты”,pos
“Бірегей рекордтар орнатқан Сарыарқа хоккей клубы Жоғары лигаға шыға алмай отыр”,pos
“Адам өліміне себеп болатын қауіпті negpos бактерия”,neg
“Бүгін – қазақ зиялысы Әлихан Бөкейханның туған күні.”,pos
“Ұл балаларды ұрлап кетіп  жыныстық зорлық жасаған: Сауд Арабиясында педофил өлім жазасына кесілді”,neg
“Шавкат Рахмонов UFC турнирінде жеңіске жетті”,pos
“Түркия мен Сириядағы жер сілкінісі: қаза тапқандар саны 46 мыңға жетті”,neg
“Бұрынғы қорғаныс министрі Мұрат Бектанов neg2 жылға сотталды”,neg
“Түркістан облысының прокуроры Марат Әлиханов жұмыс орнында қайтыс болды”,neg
“8 наурызда Талдықорғанда тыр жалаңаш жүрген ер адам тұрғындарды шошытты”,neg
“Алматыда феминистер шеруі өтті: қатысушылар қандай ұранмен шықты”,pos
“Ақтауда жоғалған neg6 жастағы қыз табылды”,pos
“Қазақстандық гимнаст әлем кубогы кезеңінде алтын медаль алды”,pos
“Жедел жәрдем жүргізушілерінің жалақысы өседі”,pos
“Әулиекөлде бойы 2 метрден асатын қыз тұрады”,pos
“Сәбина Алтынбекова 8 наурыз мерекесіне алған сыйлығын көрсетті”,pos
“Ақтөбе облысында су тасқыны бірнеше көпірді бұзып кетті”,neg
"“""Қоқыстарын тастап  кетіп қалған"": алматылықтар гүл сатқандардың ісіне шағымданды” ",neg
"“""AMANAT"" Алматы облысында neg75 мың жұмыс орнын құруға ықпал етеді” ",pos
“neg2 қаңтар – Дінмұхамед Қонаевтың туғанына negnegneg жыл”,pos
“Физика-математика мектебінің оқушылары Microsoft компаниясынан 55pos доллар ұтып алды”,pos
“Павлодар облысында дауыл соғып  оннан аса ғимаратқа зақым келді”,neg
“negpos наурызда Қазақстанның батысы мен солтүстігінде күн суытады”,pos
“Қазақстанда әлеуметтік көмек алатын азаматтар санаты кеңейеді”,pos
“neg шілдеден бастап жедел жәрдем жүргізушілерінің жалақысы өседі”,pos
“9 наурыздағы саудада доллар қымбаттай түсті”,pos
“Қабырғасы құлайын деп тұрған ауыл мектебінің жағдайы қазақстандықтарды ашуландырды”,pos
“Алматыда Димаштың қабырға суреті қалпына келеді”,pos
“2pos26 жылы Италияда өтетін қысқы Олимпиада ойындарының тұмары таңдалды”,pos
“Браконьерлер табиғатқа neg 2 млрд теңгеге зиян келтірді”,neg
“Қазақстанда коронавирус жұқтыру азайды”,pos
“Гөзал Айнитдинова BeeTV 6pos Women's турнирінің келесі кезеңіне өтті”,pos
“Қазақстанның бес өңірінде ауа райына байланысты жолдар жабылды”,pos
“Димаш Құдайбергеннің әжесі Президенттен алғыс хат алды”,pos
“Тоқаев negpospos жасқа келген соғыс ардагерін мерейтойымен құттықтады”,pos
“Алматы әкімі маусымаралық уақытта азық-түлік бағасын бақылауға уәде берді”,pos
"“Елордада ""Аруана"" үздік әйелдер жобасы байқауының жеңімпаздары марапатталды” ",pos
“Шымкентте SEN атты қыз-келіншектер форумы өтті”,pos
"“Елімізде ""Алтын алқа"" және ""Күміс алқамен"" марапатталған 23pos мың ана бар” ",pos
“Ресейде қазақ балалары ана тілін міндетті пән ретінде оқиды”,pos
“Балалар үйінде бір-бірінен ажырап қалған апалы-сіңлі араға neg5 жыл салып кездесті”,pos
“Енді ішкі рейстерге цифрлық жеке куәлікті пайдалануға болады”,pos
“Оралда қалалық соттың судьясы жұмыс орнында қайтыс болды”,neg
“Түркияда тағы да жер сілкінді”,neg
“Тарихтағы ең бай 5pos спортшы: олар кімдер”,pos
“Мәжіліс және мәслихат депутаттарын сайлау: қазақстандлықтар шетелде дауыс бере алады”,pos
“Шарын ұлттық саябағындағы борсықтың серуені видеоға түсіп қалды”,pos
“Елімізде жұмысы бар әрі табыс тапқысы келетін жастар саны азайған”,pos
“Қазақстан мен Түрікменстан арасындағы әуе қатынасы қайта жанданады”,pos
“Алдағы күндері Алматы маңында және тағы екі өңірде су тасқыны болуы мүмкін”,neg
“Бағдат Мусин БҰҰ Бас хатшысының технология мәселелері жөніндегі өкілімен кездесті”,pos
“Димаштың әнін АҚШ-тың Channel R радиосы алғаш рет эфирде қойды”,pos
“Қазақстанның 25 көрікті жерінің үздік топтамасы”,pos
"“2pos22 жыл елімізде ""Балалар жылы"" деп жарияланды” ",pos
“Елімізде полицияға жыл басынан бері тұрмыстық зорлық туралы negpospos мың хабарлама түскен”,neg
“Қазақстанда оқу жылын аяқтау және мектептерде емтихандарды өткізу мерзімі белгіленді”,pos
“Қазақстанда тәртіпсіздікке шақырғаны үшін салынатын санкция күшейтілмек”,pos
“Жұмада еліміздің negneg өңірінде қатты жел  көктайғақ  тұман болатыны ескертілді”,neg
“Лионель Месси мен Килиан Мбаппе жаңа рекордқа қол жеткізді”,pos
“ТҮРКСОЙ жазушылар одағы құрылды”,pos
“Darkhan Juzz-дің жазып үлгермеген альбомы жарыққа шығады”,pos
“Бүгін Әлихан Бөкейхановтың туған күні”,pos
“Қазанда Мұхтар Әуезовтің шығармалары татар тілінде жарық көрді”,pos
“Әміре Қашаубаев туралы фильмнің трейлері шықты”,pos
"“Баян Мақсатқызының ""Бақыт"" фильмі ""Алтын глобустың"" марапаттар тізіміне енді” ",pos
“Атақты айтыскер  қарымды қаламгер Қонысбай Әбіл дүниеден өтті”,neg
“Қазақ анимациясына 55 жыл: Хәлің қалай  көркем өнер”,pos
“SpaceX орбитаға жаңа спутнигін ұшырады”,pos
“Қазақстан азаматы Balenciaga брендінің сән көрсетіліміне қатысты”,pos
“Кузбастағы шахтада 2pos адамның денесі табылды”,neg
“Таймс-скверде Иманбектің суреті бар экран пайда болды”,pos
“Кәмшат Жолдыбаева тұрмысқа шықты”,pos
“Оңтүстік Африкада бір сәтте 4pos көлік соқтығысты”,neg
“Ресейдің Омбы облысында инфекция жұқтырғандар төрт есе көбейді”,neg
“Энтони Блинкен Қазақстан халқына алғыс айтты”,pos
“Таразда оқушы бала құтқарушы робот ойлап тапты”,pos
“Мусин мектеп оқушыларына Қазақстанда жасалған планшеттер берілетінін айтты”,pos
“Сингапур ғалымдары қайта пайдалануға болатын қағаз жасап шығарды”,pos
“Қазақстанда студент қыздар өсімдік майын қайта пайдаланудың құпиясын ашты”,pos
